# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
16340,35000,19190,37176
16350,70815,16703,31738
16359,50502,48624,33220
16366,22958,14600,29558
16373,23306,14268,28559
16381,72752,23826,27158
16391,79622,40202,41610
16400,28968,8762,29156
16411,34360,25124,16498
16418,54710,8380,18408
16427,63600,25388,16018
16435,21970,38277,23164
16443,73033,34400,42084
16452,30544,35672,22800
16460,34141,27316,15435
16468,23901,17066,29035
16475,61864,23796,17365
16482,58848,26266,38332
16490,30752,23655,16126
16499,75090,24538,22886
16509,65261,36963,23872
16517,63055,16155,34289
16524,52037,20470,13078
16532,42468,24648,38884
16539,73138,32460,20508
16546,28620,35655,21772
16553,56612,18820,37546
16562,25456,13572,33716
16569,45320,64334,89866
16576,20844,21176,21700
16584,62820,27534,16938
16592,27512,12590,33708
16599,47243,17674,32638
16606,26570,26378,42732
16615,23368,21112,20994
16623,46216,48660,28582
16631,69652,35512,21788
16639,69650,44552,29262
16646,53349,8182,29260
16653,20855,51581,33805
16664,33098,27018,37114
16672,48090,42126,117227
16680,74772,31088,21576
16690,63848,18679,35432
16698,73951,26450,19125
16706,28865,20221,34896
16713,39728,41450,17850
16721,72401,25754,19006
16729,78960,42304,23224
16736,24340,15558,33744
16745,64220,26181,37348
16753,90033,40883,34639
16761,22508,29690,23404
16769,24184,22925,25633
16777,29940,35789,28404
16785,40730,6890,27428
16795,37990,39817,20862
16803,51137,15860,33137
16811,50703,45481,35916
16821,59564,41556,30824
16830,56982,49828,128131
16839,87999,42340,31757
16848,61522,36294,33622
16857,45636,11046,14852
16865,31682,35132,29472
16873,42512,44350,17914
16880,40724,26446,38872
16888,23182,23185,22119
16896,23325,25025,27998
16903,28303,10960,32869
16910,51905,10564,29328
16918,37518,52602,86430
16928,46595,13948,31120
16936,25597,31876,27095
16945,59312,37459,19927
16953,57444,16346,35438
16961,60954,21094,36544
16969,23592,22314,24281
16977,49990,61243,120552
16986,59094,35746,18563
16995,23178,25346,21678
17003,86565,18965,31833
17010,26855,37855,26236
17017,30077,36296,25738
17027,56194,19652,11178
17035,52300,33488,16378
17043,35682,39396,19548
17053,74948,42211,22855
17060,52412,44606,33946
17067,37554,40598,21980
17075,29507,17581,35925
17084,59217,38093,18462
17093,62226,38566,33066
17100,43746,7368,18810
17107,34395,24765,13863
17116,56971,6735,29776
17124,46302,42396,120458
17131,70184,16013,21395
17138,62814,33570,36400
17145,20382,45510,25458
17155,44074,16555,34076
17163,74424,40766,40498
17170,23970,21201,22144
17177,51498,10305,28826
17187,67137,38133,27497
17194,54883,17872,11607
17201,51970,20802,36609
17209,51883,14586,33102
17218,29249,43446,31902
17227,35985,32502,19336
17235,19512,19778,26442
17244,32510,29690,32570
17254,37830,25464,37000
17264,91710,23584,28454
17272,28958,14121,20801
17280,21532,16332,33452
17289,25106,29396,28368
17297,80984,50183,29649
17306,87881,36906,30442
17317,72304,21136,29428
17326,60254,40654,31558
17336,26366,33146,25170
17343,75242,16712,24584
17351,70840,38530,40926
17358,72087,31611,21630
17367,51897,16688,31992
17374,62732,15510,34698
17384,32176,24147,15792
17391,36650,17951,35851
17399,25362,25152,28578
17408,31858,11843,20531
17418,23301,20194,31939
17426,36083,31969,38555
17436,36743,16797,13829
17444,29552,19623,36052
17454,50984,12003,33321
17462,80797,39432,23891
17469,31140,18583,36164
17477,47026,11776,28975
17485,42404,20718,38800
17492,53794,51600,132100
17500,64624,22482,37202
17507,75166,15610,21784
17515,25634,19790,30867
17525,69522,44243,30109
17534,23354,18972,26150
17542,66560,37546,25288
17550,60021,21526,36976
17557,27552,18674,19688
17564,53460,17825,33566
17573,22729,23934,23965
17580,73838,18524,27807
17589,22674,16037,26427
17596,62575,36850,34020
17603,48145,24832,37228
17612,58438,40774,34472
17619,56515,18096,37535
17627,18808,50580,33354
17634,75746,31394,42225
17642,43108,38114,15222
17652,26199,29886,21590
17662,78736,43168,24310
17669,33050,33542,16099
17676,74109,17099,29437
17685,59913,20235,34792
17692,67478,37022,27732
17699,22047,18394,27987
17709,55370,42239,19073
17716,65232,18002,35004
17724,58035,47440,80328
17735,28334,27847,17523
17742,71690,35628,24193
17751,36254,18803,37203
17760,23962,12093,28949
17767,28320,35326,23462
17775,71085,18772,31968
